
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}

@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}

@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}


@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}

@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}

@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}

@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:50:25: Results: {'success': True, 'error': None, 'transcription': 'hello'}
@: 23/05/2020 18:50:34: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:52:01: Results: {'success': True, 'error': None, 'transcription': 'champagne'}
@: 23/05/2020 18:52:06: Results: {'success': True, 'error': None, 'transcription': 'mango'}
@: 23/05/2020 18:55:54: Results: {'success': True, 'error': None, 'transcription': 'murder'}
@: 23/05/2020 18:56:40: Results: {'success': True, 'error': None, 'transcription': 'MoDA'}
@: 01/06/2020 06:46:11: Results: {'success': True, 'error': 'Unable to recognize speech', 'transcription': None}
